127.0.0.1 - - [27/May/2017:15:42:56 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/May/2017:15:42:57 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:42:58 +0530] "GET /CollaborationFrontEnd/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:42:58 +0530] "GET /CollaborationFrontEnd/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:42:58 +0530] "GET /CollaborationFrontEnd/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:42:58 +0530] "GET /CollaborationFrontEnd/js/app.js HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [27/May/2017:15:42:58 +0530] "GET /CollaborationFrontEnd/controllers/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:42:58 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:42:58 +0530] "GET /CollaborationFrontEnd/controllers/UserService.js HTTP/1.1" 200 1510
0:0:0:0:0:0:0:1 - - [27/May/2017:15:42:58 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:01 +0530] "GET /CollaborationFrontEnd/Header/CommonHeader.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:01 +0530] "GET /CollaborationFrontEnd/Footer/CommonFooter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:02 +0530] "GET /CollaborationFrontEnd/Common/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:32 +0530] "GET /CollaborationRestServices/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:44 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:45 +0530] "GET /CollaborationFrontEnd/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:45 +0530] "GET /CollaborationFrontEnd/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:45 +0530] "GET /CollaborationFrontEnd/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:45 +0530] "GET /CollaborationFrontEnd/js/app.js HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:45 +0530] "GET /CollaborationFrontEnd/controllers/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:45 +0530] "GET /CollaborationFrontEnd/controllers/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:45 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:45 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:46 +0530] "GET /CollaborationFrontEnd/Header/CommonHeader.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:46 +0530] "GET /CollaborationFrontEnd/Footer/CommonFooter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:46 +0530] "GET /CollaborationFrontEnd/Common/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:46 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/May/2017:15:43:54 +0530] "GET /CollaborationFrontEnd/c_blog/CreateBlog.html HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [27/May/2017:15:44:20 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:46:24 +0530] "GET /CollaborationFrontEnd/c_forum/CreateForum.html HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [27/May/2017:15:46:53 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:46:54 +0530] "GET /CollaborationFrontEnd/c_blog/CreateBlog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:48:20 +0530] "GET /CollaborationFrontEnd/c_user/login.html HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [27/May/2017:15:48:23 +0530] "GET /CollaborationFrontEnd/c_user/Register.html HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [27/May/2017:15:48:46 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2017:15:48:47 +0530] "GET /CollaborationFrontEnd/c_blog/CreateBlog.html HTTP/1.1" 304 -
